latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
9.67496,76.89153,340.46,0.33,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,297.57,3.16,D
9.74315,76.95711,367.0,0.32,0.55,2026-01-16,739,N20,VIIRS,h,2.0NRT,297.96,5.53,D
9.74335,76.95513,339.31,0.32,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,295.73,4.35,D
9.74387,76.95801,340.5,0.32,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,296.93,4.35,D
9.79418,76.98122,367.0,0.32,0.55,2026-01-16,739,N20,VIIRS,h,2.0NRT,299.69,6.87,D
9.79469,76.98407,367.0,0.32,0.55,2026-01-16,739,N20,VIIRS,h,2.0NRT,302.33,6.87,D
9.79519,76.98687,333.27,0.32,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,296.85,7.23,D
9.79961,76.98299,329.56,0.32,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,294.41,6.87,D
9.96241,76.39266,355.58,0.35,0.57,2026-01-16,739,N20,VIIRS,n,2.0NRT,298.6,5.38,D
9.96446,76.3917,353.88,0.35,0.57,2026-01-16,739,N20,VIIRS,n,2.0NRT,298.97,6.16,D
10.68907,76.51012,330.19,0.33,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,298.69,2.89,D
11.58572,79.09841,333.4,0.43,0.46,2026-01-16,739,N20,VIIRS,n,2.0NRT,297.86,3.55,D
11.78014,76.4642,335.5,0.32,0.55,2026-01-16,739,N20,VIIRS,n,2.0NRT,298.39,2.49,D
12.24787,79.83101,335.08,0.57,0.43,2026-01-16,739,N20,VIIRS,n,2.0NRT,299.63,6.14,D
12.65859,76.70876,338.86,0.59,0.53,2026-01-16,739,N20,VIIRS,n,2.0NRT,301.27,6.3,D
12.67786,77.37546,345.67,0.53,0.5,2026-01-16,739,N20,VIIRS,n,2.0NRT,299.38,7.64,D
12.74192,79.91662,332.29,0.55,0.43,2026-01-16,739,N20,VIIRS,n,2.0NRT,298.85,3.71,D
12.89834,77.73492,331.04,0.5,0.49,2026-01-16,739,N20,VIIRS,n,2.0NRT,298.73,5.96,D
